Alt (m), Press (Pa), Dens (kg/m^3), Temp (K)
  10201, 2.563284e+04,  4.025947e-01, 2.218435e+02
  10301, 2.524055e+04,  3.975984e-01, 2.211935e+02
  10401, 2.485315e+04,  3.926496e-01, 2.205435e+02
  10501, 2.447057e+04,  3.877481e-01, 2.198935e+02
  10601, 2.409277e+04,  3.828936e-01, 2.192435e+02
  10701, 2.371971e+04,  3.780857e-01, 2.185935e+02
  10801, 2.335134e+04,  3.733241e-01, 2.179435e+02
  10901, 2.298762e+04,  3.686085e-01, 2.172935e+02
  11001, 2.262903e+04,  3.641884e-01, 2.165000e+02
  11101, 2.227603e+04,  3.585074e-01, 2.165000e+02
  11201, 2.192855e+04,  3.529149e-01, 2.165000e+02
  11301, 2.158648e+04,  3.474097e-01, 2.165000e+02
  11401, 2.124975e+04,  3.419904e-01, 2.165000e+02
  11501, 2.091827e+04,  3.366557e-01, 2.165000e+02
  11601, 2.059196e+04,  3.314041e-01, 2.165000e+02
  11701, 2.027074e+04,  3.262345e-01, 2.165000e+02
  11801, 1.995453e+04,  3.211455e-01, 2.165000e+02
  11901, 1.964326e+04,  3.161359e-01, 2.165000e+02
  12001, 1.933684e+04,  3.112044e-01, 2.165000e+02
  12101, 1.903520e+04,  3.063499e-01, 2.165000e+02
  12201, 1.873827e+04,  3.015710e-01, 2.165000e+02
  12301, 1.844597e+04,  2.968668e-01, 2.165000e+02
  12401, 1.815822e+04,  2.922359e-01, 2.165000e+02
  12501, 1.787497e+04,  2.876772e-01, 2.165000e+02
  12601, 1.759613e+04,  2.831897e-01, 2.165000e+02
  12701, 1.732165e+04,  2.787722e-01, 2.165000e+02
  12801, 1.705145e+04,  2.744236e-01, 2.165000e+02
  12901, 1.678546e+04,  2.701428e-01, 2.165000e+02
  13001, 1.652362e+04,  2.659288e-01, 2.165000e+02
  13101, 1.626586e+04,  2.617805e-01, 2.165000e+02
  13201, 1.601213e+04,  2.576969e-01, 2.165000e+02
  13301, 1.576235e+04,  2.536771e-01, 2.165000e+02
  13401, 1.551647e+04,  2.497199e-01, 2.165000e+02
  13501, 1.527443e+04,  2.458245e-01, 2.165000e+02
  13601, 1.503616e+04,  2.419898e-01, 2.165000e+02
  13701, 1.480161e+04,  2.382150e-01, 2.165000e+02
  13801, 1.457071e+04,  2.344990e-01, 2.165000e+02
  13901, 1.434342e+04,  2.308410e-01, 2.165000e+02
  14001, 1.411968e+04,  2.272401e-01, 2.165000e+02
  14101, 1.389942e+04,  2.236953e-01, 2.165000e+02
  14201, 1.368260e+04,  2.202058e-01, 2.165000e+02
  14301, 1.346916e+04,  2.167708e-01, 2.165000e+02
  14401, 1.325905e+04,  2.133894e-01, 2.165000e+02
  14501, 1.305222e+04,  2.100607e-01, 2.165000e+02
  14601, 1.284862e+04,  2.067839e-01, 2.165000e+02
  14701, 1.264819e+04,  2.035582e-01, 2.165000e+02
  14801, 1.245089e+04,  2.003829e-01, 2.165000e+02
  14901, 1.225667e+04,  1.972571e-01, 2.165000e+02
  15001, 1.206547e+04,  1.941800e-01, 2.165000e+02
  15101, 1.187726e+04,  1.911510e-01, 2.165000e+02
  15201, 1.169198e+04,  1.881692e-01, 2.165000e+02
  15301, 1.150960e+04,  1.852339e-01, 2.165000e+02
  15401, 1.133006e+04,  1.823444e-01, 2.165000e+02
